timestamp,y,hour,dow,is_weekend,sin_h,cos_h,lag1,lag2,lag24,roll24
2025-01-02 00:00:00+00:00,138.0,0,3,0,0.0,1.0,142.0,129.0,259.0,170.5
2025-01-02 01:00:00+00:00,175.0,1,3,0,0.25881904510252074,0.9659258262890683,138.0,142.0,231.0,165.45833333333334
2025-01-02 02:00:00+00:00,198.0,2,3,0,0.49999999999999994,0.8660254037844387,175.0,138.0,227.0,163.125
2025-01-02 03:00:00+00:00,221.0,3,3,0,0.7071067811865476,0.7071067811865476,198.0,175.0,192.0,161.91666666666666
2025-01-02 04:00:00+00:00,244.0,4,3,0,0.8660254037844386,0.5000000000000001,221.0,198.0,209.0,163.125
2025-01-02 05:00:00+00:00,258.0,5,3,0,0.9659258262890683,0.25881904510252074,244.0,221.0,212.0,164.58333333333334
2025-01-02 06:00:00+00:00,264.0,6,3,0,1.0,6.123233995736766e-17,258.0,244.0,201.0,166.5
2025-01-02 07:00:00+00:00,273.0,7,3,0,0.9659258262890683,-0.25881904510252063,264.0,258.0,185.0,169.125
2025-01-02 08:00:00+00:00,302.0,8,3,0,0.8660254037844387,-0.4999999999999998,273.0,264.0,163.0,172.79166666666666
2025-01-02 09:00:00+00:00,343.0,9,3,0,0.7071067811865476,-0.7071067811865475,302.0,273.0,150.0,178.58333333333334
2025-01-02 10:00:00+00:00,379.0,10,3,0,0.49999999999999994,-0.8660254037844387,343.0,302.0,135.0,186.625
2025-01-02 11:00:00+00:00,383.0,11,3,0,0.258819045102521,-0.9659258262890682,379.0,343.0,141.0,196.79166666666666
2025-01-02 12:00:00+00:00,397.0,12,3,0,1.2246467991473532e-16,-1.0,383.0,379.0,136.0,206.875
2025-01-02 13:00:00+00:00,416.0,13,3,0,-0.2588190451025208,-0.9659258262890683,397.0,383.0,145.0,217.75
2025-01-02 14:00:00+00:00,433.0,14,3,0,-0.4999999999999997,-0.8660254037844388,416.0,397.0,159.0,229.04166666666666
2025-01-02 15:00:00+00:00,447.0,15,3,0,-0.7071067811865471,-0.7071067811865479,433.0,416.0,169.0,240.45833333333334
2025-01-02 16:00:00+00:00,428.0,16,3,0,-0.8660254037844385,-0.5000000000000004,447.0,433.0,173.0,252.04166666666666
2025-01-02 17:00:00+00:00,410.0,17,3,0,-0.9659258262890683,-0.25881904510252063,428.0,447.0,158.0,262.6666666666667
2025-01-02 18:00:00+00:00,391.0,18,3,0,-1.0,-1.8369701987210297e-16,410.0,428.0,156.0,273.1666666666667
2025-01-02 19:00:00+00:00,383.0,19,3,0,-0.9659258262890684,0.2588190451025203,391.0,410.0,146.0,282.9583333333333
2025-01-02 20:00:00+00:00,380.0,20,3,0,-0.8660254037844386,0.5000000000000001,383.0,391.0,142.0,292.8333333333333
2025-01-02 21:00:00+00:00,381.0,21,3,0,-0.7071067811865477,0.7071067811865474,380.0,383.0,132.0,302.75
2025-01-02 22:00:00+00:00,366.0,22,3,0,-0.5000000000000004,0.8660254037844384,381.0,380.0,129.0,313.125
2025-01-02 23:00:00+00:00,374.0,23,3,0,-0.25881904510252157,0.9659258262890681,366.0,381.0,142.0,323.0
2025-01-03 00:00:00+00:00,378.0,0,4,0,0.0,1.0,374.0,366.0,138.0,332.6666666666667
2025-01-03 01:00:00+00:00,368.0,1,4,0,0.25881904510252074,0.9659258262890683,378.0,374.0,175.0,342.6666666666667
2025-01-03 02:00:00+00:00,355.0,2,4,0,0.49999999999999994,0.8660254037844387,368.0,378.0,198.0,350.7083333333333
2025-01-03 03:00:00+00:00,349.0,3,4,0,0.7071067811865476,0.7071067811865476,355.0,368.0,221.0,357.25
2025-01-03 04:00:00+00:00,357.0,4,4,0,0.8660254037844386,0.5000000000000001,349.0,355.0,244.0,362.5833333333333
2025-01-03 05:00:00+00:00,335.0,5,4,0,0.9659258262890683,0.25881904510252074,357.0,349.0,258.0,367.2916666666667
2025-01-03 06:00:00+00:00,317.0,6,4,0,1.0,6.123233995736766e-17,335.0,357.0,264.0,370.5
2025-01-03 07:00:00+00:00,310.0,7,4,0,0.9659258262890683,-0.25881904510252063,317.0,335.0,273.0,372.7083333333333
2025-01-03 08:00:00+00:00,295.0,8,4,0,0.8660254037844387,-0.4999999999999998,310.0,317.0,302.0,374.25
2025-01-03 09:00:00+00:00,281.0,9,4,0,0.7071067811865476,-0.7071067811865475,295.0,310.0,343.0,373.9583333333333
2025-01-03 10:00:00+00:00,265.0,10,4,0,0.49999999999999994,-0.8660254037844387,281.0,295.0,379.0,371.375
2025-01-03 11:00:00+00:00,265.0,11,4,0,0.258819045102521,-0.9659258262890682,265.0,281.0,383.0,366.625
2025-01-03 12:00:00+00:00,263.0,12,4,0,1.2246467991473532e-16,-1.0,265.0,265.0,397.0,361.7083333333333
2025-01-03 13:00:00+00:00,282.0,13,4,0,-0.2588190451025208,-0.9659258262890683,263.0,265.0,416.0,356.125
2025-01-03 14:00:00+00:00,304.0,14,4,0,-0.4999999999999997,-0.8660254037844388,282.0,263.0,433.0,350.5416666666667
2025-01-03 15:00:00+00:00,326.0,15,4,0,-0.7071067811865471,-0.7071067811865479,304.0,282.0,447.0,345.1666666666667
2025-01-03 16:00:00+00:00,338.0,16,4,0,-0.8660254037844385,-0.5000000000000004,326.0,304.0,428.0,340.125
2025-01-03 17:00:00+00:00,338.0,17,4,0,-0.9659258262890683,-0.25881904510252063,338.0,326.0,410.0,336.375
2025-01-03 18:00:00+00:00,345.0,18,4,0,-1.0,-1.8369701987210297e-16,338.0,338.0,391.0,333.375
2025-01-03 19:00:00+00:00,343.0,19,4,0,-0.9659258262890684,0.2588190451025203,345.0,338.0,383.0,331.4583333333333
2025-01-03 20:00:00+00:00,356.0,20,4,0,-0.8660254037844386,0.5000000000000001,343.0,345.0,380.0,329.7916666666667
2025-01-03 21:00:00+00:00,352.0,21,4,0,-0.7071067811865477,0.7071067811865474,356.0,343.0,381.0,328.7916666666667
2025-01-03 22:00:00+00:00,354.0,22,4,0,-0.5000000000000004,0.8660254037844384,352.0,356.0,366.0,327.5833333333333
2025-01-03 23:00:00+00:00,376.0,23,4,0,-0.25881904510252157,0.9659258262890681,354.0,352.0,374.0,327.0833333333333
2025-01-04 00:00:00+00:00,312.0,0,5,1,0.0,1.0,376.0,354.0,378.0,327.1666666666667
2025-01-04 01:00:00+00:00,325.0,1,5,1,0.25881904510252074,0.9659258262890683,312.0,376.0,368.0,324.4166666666667
2025-01-04 02:00:00+00:00,434.0,2,5,1,0.49999999999999994,0.8660254037844387,325.0,312.0,355.0,322.625
2025-01-04 03:00:00+00:00,459.0,3,5,1,0.7071067811865476,0.7071067811865476,434.0,325.0,349.0,325.9166666666667
2025-01-04 04:00:00+00:00,487.0,4,5,1,0.8660254037844386,0.5000000000000001,459.0,434.0,357.0,330.5
2025-01-04 05:00:00+00:00,524.0,5,5,1,0.9659258262890683,0.25881904510252074,487.0,459.0,335.0,335.9166666666667
2025-01-04 06:00:00+00:00,540.0,6,5,1,1.0,6.123233995736766e-17,524.0,487.0,317.0,343.7916666666667
2025-01-04 07:00:00+00:00,536.0,7,5,1,0.9659258262890683,-0.25881904510252063,540.0,524.0,310.0,353.0833333333333
2025-01-04 08:00:00+00:00,530.0,8,5,1,0.8660254037844387,-0.4999999999999998,536.0,540.0,295.0,362.5
2025-01-04 09:00:00+00:00,503.0,9,5,1,0.7071067811865476,-0.7071067811865475,530.0,536.0,281.0,372.2916666666667
2025-01-04 10:00:00+00:00,473.0,10,5,1,0.49999999999999994,-0.8660254037844387,503.0,530.0,265.0,381.5416666666667
2025-01-04 11:00:00+00:00,463.0,11,5,1,0.258819045102521,-0.9659258262890682,473.0,503.0,265.0,390.2083333333333
2025-01-04 12:00:00+00:00,465.0,12,5,1,1.2246467991473532e-16,-1.0,463.0,473.0,263.0,398.4583333333333
2025-01-04 13:00:00+00:00,480.0,13,5,1,-0.2588190451025208,-0.9659258262890683,465.0,463.0,282.0,406.875
2025-01-04 14:00:00+00:00,503.0,14,5,1,-0.4999999999999997,-0.8660254037844388,480.0,465.0,304.0,415.125
2025-01-04 15:00:00+00:00,524.0,15,5,1,-0.7071067811865471,-0.7071067811865479,503.0,480.0,326.0,423.4166666666667
2025-01-04 16:00:00+00:00,520.0,16,5,1,-0.8660254037844385,-0.5000000000000004,524.0,503.0,338.0,431.6666666666667
2025-01-04 17:00:00+00:00,512.0,17,5,1,-0.9659258262890683,-0.25881904510252063,520.0,524.0,338.0,439.25
2025-01-04 18:00:00+00:00,508.0,18,5,1,-1.0,-1.8369701987210297e-16,512.0,520.0,345.0,446.5
2025-01-04 19:00:00+00:00,494.0,19,5,1,-0.9659258262890684,0.2588190451025203,508.0,512.0,343.0,453.2916666666667
2025-01-04 20:00:00+00:00,505.0,20,5,1,-0.8660254037844386,0.5000000000000001,494.0,508.0,356.0,459.5833333333333
2025-01-04 21:00:00+00:00,503.0,21,5,1,-0.7071067811865477,0.7071067811865474,505.0,494.0,352.0,465.7916666666667
2025-01-04 22:00:00+00:00,514.0,22,5,1,-0.5000000000000004,0.8660254037844384,503.0,505.0,354.0,472.0833333333333
2025-01-04 23:00:00+00:00,506.0,23,5,1,-0.25881904510252157,0.9659258262890681,514.0,503.0,376.0,478.75
2025-01-05 00:00:00+00:00,486.0,0,6,1,0.0,1.0,506.0,514.0,312.0,484.1666666666667
2025-01-05 01:00:00+00:00,486.0,1,6,1,0.25881904510252074,0.9659258262890683,486.0,506.0,325.0,491.4166666666667
2025-01-05 02:00:00+00:00,480.0,2,6,1,0.49999999999999994,0.8660254037844387,486.0,486.0,434.0,498.125
2025-01-05 03:00:00+00:00,452.0,3,6,1,0.7071067811865476,0.7071067811865476,480.0,486.0,459.0,500.0416666666667
2025-01-05 04:00:00+00:00,439.0,4,6,1,0.8660254037844386,0.5000000000000001,452.0,480.0,487.0,499.75
2025-01-05 05:00:00+00:00,415.0,5,6,1,0.9659258262890683,0.25881904510252074,439.0,452.0,524.0,497.75
2025-01-05 06:00:00+00:00,402.0,6,6,1,1.0,6.123233995736766e-17,415.0,439.0,540.0,493.2083333333333
2025-01-05 07:00:00+00:00,381.0,7,6,1,0.9659258262890683,-0.25881904510252063,402.0,415.0,536.0,487.4583333333333
2025-01-05 08:00:00+00:00,352.0,8,6,1,0.8660254037844387,-0.4999999999999998,381.0,402.0,530.0,481.0
2025-01-05 09:00:00+00:00,333.0,9,6,1,0.7071067811865476,-0.7071067811865475,352.0,381.0,503.0,473.5833333333333
2025-01-05 10:00:00+00:00,314.0,10,6,1,0.49999999999999994,-0.8660254037844387,333.0,352.0,473.0,466.5
2025-01-05 11:00:00+00:00,304.0,11,6,1,0.258819045102521,-0.9659258262890682,314.0,333.0,463.0,459.875
2025-01-05 12:00:00+00:00,290.0,12,6,1,1.2246467991473532e-16,-1.0,304.0,314.0,465.0,453.25
2025-01-05 13:00:00+00:00,268.0,13,6,1,-0.2588190451025208,-0.9659258262890683,290.0,304.0,480.0,445.9583333333333
2025-01-05 14:00:00+00:00,261.0,14,6,1,-0.4999999999999997,-0.8660254037844388,268.0,290.0,503.0,437.125
2025-01-05 15:00:00+00:00,262.0,15,6,1,-0.7071067811865471,-0.7071067811865479,261.0,268.0,524.0,427.0416666666667
2025-01-05 16:00:00+00:00,247.0,16,6,1,-0.8660254037844385,-0.5000000000000004,262.0,261.0,520.0,416.125
2025-01-05 17:00:00+00:00,229.0,17,6,1,-0.9659258262890683,-0.25881904510252063,247.0,262.0,512.0,404.75
2025-01-05 18:00:00+00:00,231.0,18,6,1,-1.0,-1.8369701987210297e-16,229.0,247.0,508.0,392.9583333333333
2025-01-05 19:00:00+00:00,223.0,19,6,1,-0.9659258262890684,0.2588190451025203,231.0,229.0,494.0,381.4166666666667
2025-01-05 20:00:00+00:00,219.0,20,6,1,-0.8660254037844386,0.5000000000000001,223.0,231.0,505.0,370.125
2025-01-05 21:00:00+00:00,203.0,21,6,1,-0.7071067811865477,0.7071067811865474,219.0,223.0,503.0,358.2083333333333
2025-01-05 22:00:00+00:00,183.0,22,6,1,-0.5000000000000004,0.8660254037844384,203.0,219.0,514.0,345.7083333333333
2025-01-05 23:00:00+00:00,171.0,23,6,1,-0.25881904510252157,0.9659258262890681,183.0,203.0,506.0,331.9166666666667
2025-01-06 00:00:00+00:00,126.0,0,0,0,0.0,1.0,171.0,183.0,486.0,317.9583333333333
2025-01-06 01:00:00+00:00,121.0,1,0,0,0.25881904510252074,0.9659258262890683,126.0,171.0,486.0,302.9583333333333
2025-01-06 02:00:00+00:00,163.0,2,0,0,0.49999999999999994,0.8660254037844387,121.0,126.0,480.0,287.75
2025-01-06 03:00:00+00:00,164.0,3,0,0,0.7071067811865476,0.7071067811865476,163.0,121.0,452.0,274.5416666666667
2025-01-06 04:00:00+00:00,174.0,4,0,0,0.8660254037844386,0.5000000000000001,164.0,163.0,439.0,262.5416666666667
2025-01-06 05:00:00+00:00,182.0,5,0,0,0.9659258262890683,0.25881904510252074,174.0,164.0,415.0,251.5
2025-01-06 06:00:00+00:00,188.0,6,0,0,1.0,6.123233995736766e-17,182.0,174.0,402.0,241.79166666666666
2025-01-06 07:00:00+00:00,183.0,7,0,0,0.9659258262890683,-0.25881904510252063,188.0,182.0,381.0,232.875
